ticker,exchange,sector,industry,state_val,city,lat,lon,rpt_year,revenue_scaled,income_tax_scaled,net_income_scaled,market_cap,median_hh_income
AIZ,NYSE,Financials,Multi-line Insurance,NY,New York,40.70793,-74.00854,2018,8001000000,81000000,251000000,5366400000,67274
AIZ,NYSE,Financials,Multi-line Insurance,NY,New York,40.70793,-74.00854,2019,10073000000,168000000,383000000,8126960000,68486
AJG,NYSE,Financials,Insurance Brokers,IL,Rolling Meadows,42.0761,-88.0258,2015,5386000000,-96000000,357000000,7082620000,60413
AJG,NYSE,Financials,Insurance Brokers,IL,Rolling Meadows,42.0761,-88.0258,2016,5590000000,-88000000,414000000,9248880000,61386
AJG,NYSE,Financials,Insurance Brokers,IL,Rolling Meadows,42.0761,-88.0258,2017,6103000000,-157000000,481000000,11516960000,64609
AJG,NYSE,Financials,Insurance Brokers,IL,Rolling Meadows,42.0761,-88.0258,2018,6789000000,-197000000,634000000,13708200000,70145
AJG,NYSE,Financials,Insurance Brokers,IL,Rolling Meadows,42.0761,-88.0258,2019,6978000000,-90000000,669000000,18093700000,65886
AKAM,NASDAQ,Information Technology,Internet Services & Infrastructure,MA,Cambridge,42.3652,-71.105,2015,2197000000,135000000,321000000,9473400000,67861
AKAM,NASDAQ,Information Technology,Internet Services & Infrastructure,MA,Cambridge,42.3652,-71.105,2016,2340000000,143000000,316000000,11735680000,72266
AKAM,NASDAQ,Information Technology,Internet Services & Infrastructure,MA,Cambridge,42.3652,-71.105,2017,2489000000,91000000,223000000,11251920000,73227
AKAM,NASDAQ,Information Technology,Internet Services & Infrastructure,MA,Cambridge,42.3652,-71.105,2018,2714000000,45000000,298000000,10322520000,86345
AKAM,NASDAQ,Information Technology,Internet Services & Infrastructure,MA,Cambridge,42.3652,-71.105,2019,2894000000,53000000,478000000,14252700000,81215
ALB,NYSE,Materials,Specialty Chemicals,NC,Charlotte,35.15522,-80.83754,2015,2826000000,11000000,302000000,6273120000,50797
ALB,NYSE,Materials,Specialty Chemicals,NC,Charlotte,35.15522,-80.83754,2016,2677000000,96000000,442000000,9727040000,53764
ALB,NYSE,Materials,Specialty Chemicals,NC,Charlotte,35.15522,-80.83754,2017,3072000000,432000000,55000000,14323680000,50343
